name,description,original_price,price,category_name,subcategory_name,specifications
Gas Sensor (MQ-2),"The Gas Sensor (MQ-2) is a high-performance part specifically designed for Sensors systems and advanced robotics projects. This Gas Sensor (MQ-2) (MQ-2 gas sensor for LPG, smoke, and CO detection) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",195,150,Sensors,Electronic Sensors,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Type"": ""Analog/Digital"", ""Sensitivity"": ""High Precision"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
MQ-135,"The MQ-135 is a high-performance part specifically designed for Sensors systems and advanced robotics projects. This MQ-135 (Air quality gas sensor for NH3, CO2, benzene etc.) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",227.5,175,Sensors,Electronic Sensors,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
MQ-4,"The MQ-4 is a high-performance part specifically designed for Sensors systems and advanced robotics projects. This MQ-4 (Methane / natural gas sensor (MQ-4)) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",195,150,Sensors,Electronic Sensors,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
PIR Motion Sensor (HC-SR501),"The PIR Motion Sensor (HC-SR501) is a high-performance part specifically designed for Sensors systems and advanced robotics projects. This PIR Motion Sensor (HC-SR501) (Passive infrared motion detector module (HC-SR501)) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",130,100,Sensors,Electronic Sensors,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Type"": ""Analog/Digital"", ""Sensitivity"": ""High Precision"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
Soil Moisture Sensor,"The Soil Moisture Sensor is a high-performance part specifically designed for Sensors systems and advanced robotics projects. This Soil Moisture Sensor (Hygrometer probe/module for soil moisture sensing) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",91,70,Sensors,Electronic Sensors,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Type"": ""Analog/Digital"", ""Sensitivity"": ""High Precision"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
Water Level Sensor,"The Water Level Sensor is a high-performance part specifically designed for Sensors systems and advanced robotics projects. This Water Level Sensor (Liquid level detection module (floatless/water level)) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",65,50,Sensors,Electronic Sensors,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Type"": ""Analog/Digital"", ""Sensitivity"": ""High Precision"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
Rain Sensor,"The Rain Sensor is a high-performance part specifically designed for Sensors systems and advanced robotics projects. This Rain Sensor (Raindrop / rain detection sensor module) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",104,80,Sensors,Electronic Sensors,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Type"": ""Analog/Digital"", ""Sensitivity"": ""High Precision"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
LM35 Temperature Sensor,"The LM35 Temperature Sensor is a high-performance part specifically designed for Sensors systems and advanced robotics projects. This LM35 Temperature Sensor (Analog precision Celsius temperature sensor (LM35)) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",208,160,Sensors,Electronic Sensors,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Type"": ""Analog/Digital"", ""Sensitivity"": ""High Precision"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
BMP180,"The BMP180 is a high-performance part specifically designed for Sensors systems and advanced robotics projects. This BMP180 (Barometric pressure and temperature sensor (BMP180)) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",208,160,Sensors,Electronic Sensors,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
BMP280,"The BMP280 is a high-performance part specifically designed for Sensors systems and advanced robotics projects. This BMP280 (High-precision barometric pressure & temp sensor (BMP280)) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",351,270,Sensors,Electronic Sensors,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
Servo Motor (SG90),"The Servo Motor (SG90) is a high-performance part specifically designed for Motors & Actuators systems and advanced robotics projects. This Servo Motor (SG90) (Standard 9 g micro servo (SG90) — 180° approx.) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",195,150,Motors & Actuators,DC & Stepper Motors,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Type"": ""DC/Stepper"", ""Gear Ratio"": ""Standard"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
Servo Motor (MG90),"The Servo Motor (MG90) is a high-performance part specifically designed for Motors & Actuators systems and advanced robotics projects. This Servo Motor (MG90) (Metal-gear micro servo, ~180° travel (MG90)) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",260,200,Motors & Actuators,DC & Stepper Motors,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Type"": ""DC/Stepper"", ""Gear Ratio"": ""Standard"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
Servo Motor (996R),"The Servo Motor (996R) is a high-performance part specifically designed for Motors & Actuators systems and advanced robotics projects. This Servo Motor (996R) (Higher-torque 180° servo (996R series)) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",520,400,Motors & Actuators,DC & Stepper Motors,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Type"": ""DC/Stepper"", ""Gear Ratio"": ""Standard"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
12V Yellow Gear Motor (with wheel),"The 12V Yellow Gear Motor (with wheel) is a high-performance part specifically designed for Motors & Actuators systems and advanced robotics projects. This 12V Yellow Gear Motor (with wheel) (Geared DC motor pre-mounted with wheel) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",182,140,Motors & Actuators,DC & Stepper Motors,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Type"": ""DC/Stepper"", ""Gear Ratio"": ""Standard"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
12V Yellow Gear Motor (without wheel),"The 12V Yellow Gear Motor (without wheel) is a high-performance part specifically designed for Motors & Actuators systems and advanced robotics projects. This 12V Yellow Gear Motor (without wheel) (Geared DC motor, no wheel included) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",117,90,Motors & Actuators,DC & Stepper Motors,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Type"": ""DC/Stepper"", ""Gear Ratio"": ""Standard"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
N20 Motor (800 rpm),"The N20 Motor (800 rpm) is a high-performance part specifically designed for Motors & Actuators systems and advanced robotics projects. This N20 Motor (800 rpm) (Mini N20 geared DC motor — ~800 RPM variant) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",624,480,Motors & Actuators,DC & Stepper Motors,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Type"": ""DC/Stepper"", ""Gear Ratio"": ""Standard"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
N20 Motor (400 rpm),"The N20 Motor (400 rpm) is a high-performance part specifically designed for Motors & Actuators systems and advanced robotics projects. This N20 Motor (400 rpm) (Mini N20 geared DC motor — ~400 RPM variant) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",481,370,Motors & Actuators,DC & Stepper Motors,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Type"": ""DC/Stepper"", ""Gear Ratio"": ""Standard"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
N20 Motor Wheel,"The N20 Motor Wheel is a high-performance part specifically designed for Motors & Actuators systems and advanced robotics projects. This N20 Motor Wheel (Lightweight wheel compatible with N20 motors) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",104,80,Motors & Actuators,DC & Stepper Motors,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Type"": ""DC/Stepper"", ""Gear Ratio"": ""Standard"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
5V Water Pump,"The 5V Water Pump is a high-performance part specifically designed for Sensors systems and advanced robotics projects. This 5V Water Pump (Mini submersible 5V water pump (small)) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",156,120,Sensors,Electronic Sensors,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
DC 3V Motor,"The DC 3V Motor is a high-performance part specifically designed for Motors & Actuators systems and advanced robotics projects. This DC 3V Motor (Small vibration / DC motor (3V)) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",26,20,Motors & Actuators,DC & Stepper Motors,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Type"": ""DC/Stepper"", ""Gear Ratio"": ""Standard"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
5V Mini Stepper (28BYJ-48),"The 5V Mini Stepper (28BYJ-48) is a high-performance part specifically designed for Motors & Actuators systems and advanced robotics projects. This 5V Mini Stepper (28BYJ-48) (28BYJ-48 stepper motor with ULN2003 driver board) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",325,250,Motors & Actuators,DC & Stepper Motors,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
NEMA Stepper Motor (17/23),"The NEMA Stepper Motor (17/23) is a high-performance part specifically designed for Motors & Actuators systems and advanced robotics projects. This NEMA Stepper Motor (17/23) (High-torque NEMA 17 or NEMA 23 stepper motor) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",1755,1350,Motors & Actuators,DC & Stepper Motors,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Type"": ""DC/Stepper"", ""Gear Ratio"": ""Standard"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
L298N Motor Driver,"The L298N Motor Driver is a high-performance part specifically designed for Motors & Actuators systems and advanced robotics projects. This L298N Motor Driver (Dual H-bridge motor driver module (L298N)) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",221,170,Motors & Actuators,DC & Stepper Motors,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Type"": ""DC/Stepper"", ""Gear Ratio"": ""Standard"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
BTS7960 Motor Driver,"The BTS7960 Motor Driver is a high-performance part specifically designed for Motors & Actuators systems and advanced robotics projects. This BTS7960 Motor Driver (High-power 43A H-bridge motor driver module) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",650,500,Motors & Actuators,DC & Stepper Motors,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Type"": ""DC/Stepper"", ""Gear Ratio"": ""Standard"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
TB6612fng,"The TB6612fng is a high-performance part specifically designed for Drivers & Controllers systems and advanced robotics projects. This TB6612fng (Compact dual motor driver IC/module (TB6612FNG)) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",286,220,Drivers & Controllers,Motor Drivers,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
PWM Controller,"The PWM Controller is a high-performance part specifically designed for Drivers & Controllers systems and advanced robotics projects. This PWM Controller (Speed controller / PWM module for motors) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",195,150,Drivers & Controllers,Motor Drivers,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
LM386 Module,"The LM386 Module is a high-performance part specifically designed for Communication & Modules systems and advanced robotics projects. This LM386 Module (Small audio amplifier module based on LM386 IC) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",117,90,Communication & Modules,Wireless & Networking,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
16×2 LCD Display,"The 16×2 LCD Display is a high-performance part specifically designed for Displays systems and advanced robotics projects. This 16×2 LCD Display (Standard 2×16 character alphanumeric LCD module) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",260,200,Displays,LED & LCD Screens,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Technology"": ""LED/LCD"", ""Interface"": ""I2C/Parallel"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
I2C Module for LCD,"The I2C Module for LCD is a high-performance part specifically designed for Displays systems and advanced robotics projects. This I2C Module for LCD (I2C backpack adapter for 16×2 LCD (2-wire control)) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",117,90,Displays,LED & LCD Screens,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Technology"": ""LED/LCD"", ""Interface"": ""I2C/Parallel"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
"0.96"" OLED Display","The 0.96"" OLED Display is a high-performance part specifically designed for Displays systems and advanced robotics projects. This 0.96"" OLED Display (I2C monochrome SSD1306 0.96"" OLED display) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",390,300,Displays,LED & LCD Screens,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Technology"": ""LED/LCD"", ""Interface"": ""I2C/Parallel"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
7-Segment Display (Common Cathode),"The 7-Segment Display (Common Cathode) is a high-performance part specifically designed for Displays systems and advanced robotics projects. This 7-Segment Display (Common Cathode) (Single-digit 7-segment LED (common cathode)) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",23.4,18,Displays,LED & LCD Screens,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Technology"": ""LED/LCD"", ""Interface"": ""I2C/Parallel"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
7-Segment Display (Common Anode),"The 7-Segment Display (Common Anode) is a high-performance part specifically designed for Displays systems and advanced robotics projects. This 7-Segment Display (Common Anode) (Single-digit 7-segment LED (common anode)) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",23.4,18,Displays,LED & LCD Screens,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Technology"": ""LED/LCD"", ""Interface"": ""I2C/Parallel"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
Joystick Module,"The Joystick Module is a high-performance part specifically designed for Prototyping & Tools systems and advanced robotics projects. This Joystick Module (2-axis analog joystick breakout with push button) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",97.5,75,Prototyping & Tools,Accessories & Tools,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
4×4 Matrix Keypad,"The 4×4 Matrix Keypad is a high-performance part specifically designed for Displays systems and advanced robotics projects. This 4×4 Matrix Keypad (16-button membrane keypad (4×4)) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",117,90,Displays,LED & LCD Screens,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
5 mW Laser Module,"The 5 mW Laser Module is a high-performance part specifically designed for Communication & Modules systems and advanced robotics projects. This 5 mW Laser Module (Small red laser diode module (~5 mW)) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",33.8,26,Communication & Modules,Wireless & Networking,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
Buzzer (active/passive),"The Buzzer (active/passive) is a high-performance part specifically designed for Prototyping & Tools systems and advanced robotics projects. This Buzzer (active/passive) (Active or passive buzzer module for alerts) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",19.5,15,Prototyping & Tools,Accessories & Tools,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
3 W Speaker (8Ω),"The 3 W Speaker (8Ω) is a high-performance part specifically designed for Prototyping & Tools systems and advanced robotics projects. This 3 W Speaker (8Ω) (Small 3W 8Ω loudspeaker for audio projects) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",325,250,Prototyping & Tools,Accessories & Tools,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
Glue Gun (Big),"The Glue Gun (Big) is a high-performance part specifically designed for Prototyping & Tools systems and advanced robotics projects. This Glue Gun (Big) (Full-size high-temperature hot glue gun) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",429,330,Prototyping & Tools,Accessories & Tools,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
Glue Gun (Small),"The Glue Gun (Small) is a high-performance part specifically designed for Prototyping & Tools systems and advanced robotics projects. This Glue Gun (Small) (Mini low-temperature hot glue gun) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",286,220,Prototyping & Tools,Accessories & Tools,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
Glue Stick (Thick),"The Glue Stick (Thick) is a high-performance part specifically designed for Prototyping & Tools systems and advanced robotics projects. This Glue Stick (Thick) (Thick hot glue sticks for big glue gun) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",32.5,25,Prototyping & Tools,Accessories & Tools,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
Glue Stick (Thin),"The Glue Stick (Thin) is a high-performance part specifically designed for Prototyping & Tools systems and advanced robotics projects. This Glue Stick (Thin) (Thin glue sticks for small glue gun) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",19.5,15,Prototyping & Tools,Accessories & Tools,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
Soldering Iron (60W),"The Soldering Iron (60W) is a high-performance part specifically designed for Prototyping & Tools systems and advanced robotics projects. This Soldering Iron (60W) (High-wattage soldering iron for heavy soldering) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",455,350,Prototyping & Tools,Accessories & Tools,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
Original Raspberry Pi cooler,"The Original Raspberry Pi cooler is a high-performance part specifically designed for General Electronics systems and advanced robotics projects. This Original Raspberry Pi cooler (Official Raspberry Pi heatsink & fan combo) is built for reliability and precision. Engineered with premium materials, it is fully compatible with popular platforms like Arduino, ESP32, and Raspberry Pi. Its robust design makes it ideal for educational DIY kits, professional automation, and rapid prototyping, ensuring stable performance in both hobbyist and commercial applications.",1430,1100,General Electronics,Miscellaneous,"{""Brand"": ""Generic/Compatible"", ""Condition"": ""Brand New"", ""Availability"": ""In Stock"", ""Compatibility"": ""Universal (Arduino, ESP32, STM32)""}"
